"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 00:00","2022","01","01","00:00","4.4","","3.3","","93","","","","4","","10","","24.1","","97.79","","","","","","NA"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 01:00","2022","01","01","01:00","4.4","","3.3","","92","","","","6","","12","","16.1","","97.71","","","","","","Cloudy"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 02:00","2022","01","01","02:00","4.0","","3.5","","96","","","","5","","17","","11.3","","97.67","","","","","","Rain"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 03:00","2022","01","01","03:00","3.6","","3.3","","98","","","","5","","14","","0.6","","97.69","","","","","","Drizzle,Fog"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 04:00","2022","01","01","04:00","3.4","","3.2","","99","","","","3","","14","","0.2","","97.66","","","","","","Drizzle,Fog"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 05:00","2022","01","01","05:00","3.5","","3.4","","99","","","","3","","11","","0.0","","97.67","","","","","","Fog"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 06:00","2022","01","01","06:00","3.5","","3.5","","99","","","","4","","9","","0.0","","97.64","","","","","","Fog"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 07:00","2022","01","01","07:00","3.6","","3.6","","100","","","","1","","5","","0.2","","97.71","","","","","","Fog"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 08:00","2022","01","01","08:00","3.7","","3.7","","100","","","","35","","8","","0.2","","97.81","","","","","","Fog"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 09:00","2022","01","01","09:00","3.8","","3.8","","100","","","","36","","11","","0.8","","97.86","","","","","","Fog"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 10:00","2022","01","01","10:00","3.6","","3.5","","100","","","","1","","13","","3.2","","97.93","","","","","","Fog"
"-79.94","43.17","HAMILTON A","6153193","2022-01-01 11:00","2022","01","01","11:00","3.8","","3.8","","100","","","","36","","14","","8.1","","97.96","","","","","","Fog"
